eez_territory1,eez_pol_type,n_obs,n_spp,idx_obis_wdpa
Namibia,200NM,83031,2788,0.5478795989261146
Nauru,200NM,365,94,NA
Netherlands,200NM,942611,3470,0.49983990265695605
New Caledonia,200NM,69633,8523,0.5141397661423356
New Zealand,200NM,1275688,12191,0.48625958840364436
Nicaragua,200NM,9184,1046,0.5075275453784659
Nigeria,200NM,37230,1116,NA
Niue,200NM,1300,256,NA
Norfolk Island,200NM,3874,1492,0.4370714002349153
North Korea,200NM,869,365,NA
Northern Mariana Islands,200NM,144828,2426,0.49888271382671295
Norway,200NM,1283906,6263,0.5160655541124898
Oecusse,200NM,1,1,NA
Oman,200NM,52743,1959,0.6125457868096476
Pakistan,200NM,21728,751,NA
Palau,200NM,19787,2451,0.4986611586320716
Palmyra Atoll,200NM,91820,1116,0.5105261878721594
Panama,200NM,59186,4811,0.5028700045495098
Papua New Guinea,200NM,31094,4618,0.49577381977679147
Peru,200NM,637444,3127,0.4992004431619378
Philippines,200NM,91885,9564,0.4570555554100341
Phoenix Group,200NM,1894,412,0.5014285714285714
Pitcairn,200NM,256,90,NaN
Poland,200NM,226705,1022,0.47476405279245454
Portugal,200NM,101188,3282,0.45954222825660523
Prince Edward Islands,200NM,5446,619,0.40495430495430496
Puerto Rico,200NM,43937,2431,0.46585462496814223
Qatar,200NM,3559,530,0.4547826086956522
Quitasueño Bank,200NM,NA,NA,NA
Republic of Mauritius,200NM,20484,2341,0.46765567765567767
Republic of the Congo,200NM,10190,721,0.40909090909090906
Réunion,200NM,NA,NA,NA
Romania,200NM,24660,840,0.568763166288567
Russia,200NM,NA,NA,NA
Saba,200NM,3488,514,0.49237119537890095
Saint Helena,200NM,6623,380,NA
Saint Kitts and Nevis,200NM,448,219,NA
Saint Lucia,200NM,1556,416,0.5177298727190737
Saint Vincent and the Grenadines,200NM,1767,452,0.4825084476247267
Saint-Barthélemy,200NM,NA,NA,NA
Saint-Pierre and Miquelon,200NM,22071,633,NA
Samoa,200NM,536,208,NA
Sao Tome and Principe,200NM,3781,702,NA
Saudi Arabia,200NM,9704,2290,0.4864259259259259
Senegal,200NM,11174,995,0.6167431960587363
Serrana Bank,200NM,136,96,NA
Serranilla Bank,200NM,41,29,NA
Seychelles,200NM,73684,3753,0.47751269173541394
Sierra Leone,200NM,16918,573,NA
Singapore,200NM,3504,264,NA
Sint-Eustatius,200NM,2021,143,0.4649298366689671
Sint-Maarten,200NM,384,64,0.5097175655372944
Slovenia,200NM,4105,178,NA
Solomon Islands,200NM,7298,1941,0.5353553921568628
South Africa,200NM,1607250,11078,0.492069332624912
South Korea,200NM,28273,1977,0.4781399046104928
Spain,200NM,342022,6523,0.4960988401116747
Sri Lanka,200NM,9311,1389,0.4954145728643216
Sudan,200NM,5549,553,NA
Suriname,200NM,4928,1097,0.48278514833241204
Svalbard,200NM,72242,2754,0.4632488832197446
Sweden,200NM,1271111,3377,0.5192548814241787
Syria,200NM,5,4,NA
Taiwan,200NM,50033,4656,0.4855188926553689
Tanzania,200NM,12110,1834,0.5019833590430252
Thailand,200NM,12909,2057,0.5043535948894463
Togo,200NM,4055,558,NA
Tokelau,200NM,55,30,NA
Tonga,200NM,12333,2146,0.5
Trindade,200NM,1313,530,NA
Trinidad and Tobago,200NM,4264,996,0.49615138576567863
Tristan da Cunha,200NM,4939,473,0.5133661427139435
Tunisia,200NM,20735,994,0.44528301886792454
Turkey,200NM,22155,1279,0.495
Turkmenistan,200NM,2,2,NA
Turks and Caicos Islands,200NM,5667,334,0.472331004187864
Tuvalu,200NM,2335,677,NA
United Arab Emirates,200NM,6901,364,0.43542857142857144
United Kingdom,200NM,6350520,11104,0.48719299434358965
United States,200NM,6313924,30265,0.5270651109733498
United States Virgin Islands,200NM,112078,1696,0.49075674583654794
Uruguay,200NM,5920,1276,0.5152474747474748
Vanuatu,200NM,15766,2746,0.49111560222851847
Venezuela,200NM,57599,3023,0.4878410012317956
Vietnam,200NM,14994,1859,0.48226097063761186
Wake Island,200NM,16515,576,NA
Wallis and Futuna,200NM,4927,862,NA
Yemen,200NM,207665,1797,0.4934768608316159
